order_item_id,order_id,product_id,quantity,unit_price,discount_pct
1,1,1,4,165.27,10
2,2,19,3,20.22,5
3,3,13,4,270.4,0
4,4,1,4,165.27,0
5,4,27,5,31.13,10
6,5,27,3,31.13,5
7,5,29,2,75.01,5
8,6,24,2,39.67,5
9,6,25,1,35.58,0
10,7,10,3,76.36,5
11,8,17,2,15.45,0
12,8,30,4,60.52,15
13,8,9,3,56.5,5
14,8,27,3,31.13,10
15,9,22,4,31.59,15
16,10,4,4,143.06,0
17,11,12,2,101.61,0
18,11,4,5,143.06,10
19,12,27,4,31.13,10
20,13,10,5,76.36,0
21,13,16,4,12.55,0
22,13,4,5,143.06,0
23,13,8,2,144.73,10
24,14,9,2,56.5,0
25,14,2,2,174.02,10
26,14,23,1,17.29,15
27,14,12,3,101.61,0
28,15,28,2,36.69,5
29,15,27,5,31.13,15
30,15,15,1,22.16,5
31,15,3,2,66.38,15
32,16,7,2,204.68,0
33,17,5,2,204.37,0
34,17,18,1,13.72,0
35,17,9,3,56.5,5
36,18,24,4,39.67,0
37,19,4,5,143.06,0
38,19,15,5,22.16,0
39,20,16,4,12.55,0
40,21,20,2,14.17,0
41,22,20,5,14.17,0
42,23,21,5,35.92,5
43,24,13,1,270.4,0
44,24,14,3,122.46,5
45,24,24,3,39.67,15
46,25,14,1,122.46,5
47,26,18,4,13.72,0
48,26,11,4,115.42,10
49,26,22,1,31.59,15
50,26,4,5,143.06,0
51,27,28,3,36.69,10
52,27,4,3,143.06,0
53,28,25,5,35.58,5
54,28,27,5,31.13,0
55,29,25,3,35.58,10
56,30,3,1,66.38,0
57,30,5,5,204.37,0
58,31,25,5,35.58,0
59,31,19,1,20.22,0
60,32,14,4,122.46,5
61,33,4,3,143.06,5
62,34,20,1,14.17,0
63,35,11,1,115.42,0
64,36,17,3,15.45,0
65,36,18,1,13.72,0
66,37,13,4,270.4,0
67,38,15,3,22.16,0
68,38,27,1,31.13,0
69,38,23,5,17.29,0
70,38,30,1,60.52,0
71,39,17,1,15.45,0
72,40,21,1,35.92,0
73,40,27,2,31.13,0
74,40,5,2,204.37,5
75,40,8,1,144.73,0
76,41,15,5,22.16,5
77,41,22,5,31.59,0
78,41,30,3,60.52,0
79,42,2,3,174.02,0
80,43,3,1,66.38,5
81,43,21,5,35.92,0
82,43,28,5,36.69,0
83,44,7,5,204.68,0
84,44,11,2,115.42,15
85,45,17,2,15.45,0
86,45,21,4,35.92,15
87,46,13,5,270.4,0
88,46,14,3,122.46,0
89,46,25,1,35.58,0
90,46,11,4,115.42,0
91,47,19,2,20.22,10
92,48,23,1,17.29,0
93,49,27,5,31.13,0
94,49,24,4,39.67,0
95,50,25,4,35.58,0
96,51,25,5,35.58,10
97,52,20,2,14.17,0
98,52,13,5,270.4,10
99,53,8,5,144.73,0
100,53,15,4,22.16,0
101,54,7,4,204.68,0
102,54,12,3,101.61,5
103,54,22,5,31.59,0
104,54,19,2,20.22,10
105,55,12,1,101.61,5
106,55,18,5,13.72,10
107,56,5,2,204.37,10
108,56,27,3,31.13,10
109,56,14,4,122.46,0
110,56,3,5,66.38,0
111,57,4,3,143.06,5
112,58,25,4,35.58,5
113,58,23,1,17.29,0
114,58,16,2,12.55,10
115,59,10,2,76.36,0
116,60,4,4,143.06,0
117,60,27,1,31.13,5
118,61,12,2,101.61,0
119,62,17,5,15.45,0
120,63,13,3,270.4,0
121,64,21,5,35.92,5
122,64,4,3,143.06,0
123,65,22,4,31.59,5
124,65,15,2,22.16,0
125,65,23,4,17.29,0
126,66,10,5,76.36,0
127,67,12,1,101.61,10
128,68,24,4,39.67,0
129,68,15,2,22.16,0
130,68,29,4,75.01,0
131,69,20,2,14.17,0
132,70,20,4,14.17,0
133,71,20,1,14.17,0
134,71,14,4,122.46,0
135,71,9,2,56.5,15
136,71,21,2,35.92,10
137,72,21,3,35.92,0
138,73,12,5,101.61,0
139,73,15,3,22.16,0
140,73,25,3,35.58,0
141,73,3,1,66.38,0
142,74,25,3,35.58,5
143,75,7,1,204.68,0
144,75,4,4,143.06,15
145,75,5,3,204.37,5
146,75,28,1,36.69,0
147,76,23,2,17.29,5
148,76,21,5,35.92,0
149,77,18,5,13.72,0
150,78,23,4,17.29,0
151,79,21,5,35.92,0
152,79,3,5,66.38,5
153,79,15,2,22.16,5
154,79,22,2,31.59,0
155,80,11,2,115.42,0
156,81,18,3,13.72,0
157,82,19,2,20.22,0
158,83,2,1,174.02,0
159,83,27,5,31.13,0
160,83,28,2,36.69,5
161,83,1,4,165.27,5
162,84,10,2,76.36,10
163,84,16,4,12.55,0
164,85,7,5,204.68,0
165,85,11,3,115.42,5
166,86,4,2,143.06,0
167,86,11,3,115.42,0
168,87,14,2,122.46,10
169,87,8,5,144.73,5
170,87,28,2,36.69,5
171,88,1,1,165.27,10
172,89,2,3,174.02,0
173,90,14,3,122.46,5
174,90,5,4,204.37,0
175,90,29,4,75.01,0
176,91,15,5,22.16,0
177,92,12,3,101.61,0
178,93,2,1,174.02,0
179,94,29,5,75.01,0
180,95,10,3,76.36,0
181,95,19,5,20.22,0
182,96,22,1,31.59,15
183,97,20,3,14.17,15
184,97,16,5,12.55,0
185,98,20,4,14.17,0
186,98,25,2,35.58,0
187,99,14,2,122.46,0
188,100,2,2,174.02,0
189,100,23,5,17.29,0
190,101,30,5,60.52,0
191,102,23,5,17.29,0
192,102,9,2,56.5,0
193,103,23,3,17.29,0
194,103,16,5,12.55,10
195,104,29,3,75.01,15
196,104,13,2,270.4,0
197,105,9,4,56.5,0
198,106,20,5,14.17,0
199,107,4,4,143.06,0
200,108,30,4,60.52,0
201,108,6,2,94.1,5
202,108,14,3,122.46,0
203,108,21,1,35.92,10
204,109,30,2,60.52,0
205,109,2,2,174.02,10
206,110,24,3,39.67,10
207,111,10,5,76.36,0
208,111,15,2,22.16,10
209,111,21,4,35.92,0
210,111,18,1,13.72,0
211,112,11,3,115.42,0
212,113,27,3,31.13,0
213,113,14,1,122.46,0
214,113,17,2,15.45,0
215,114,11,5,115.42,0
216,114,10,3,76.36,5
217,114,19,1,20.22,5
218,115,29,1,75.01,5
219,115,23,3,17.29,0
220,115,25,2,35.58,0
221,115,10,2,76.36,0
222,116,30,5,60.52,10
223,116,16,2,12.55,5
224,117,17,3,15.45,0
225,117,23,5,17.29,0
226,118,11,5,115.42,0
227,119,15,4,22.16,0
228,119,26,4,128.12,0
229,119,2,1,174.02,0
230,120,1,2,165.27,0
231,121,30,1,60.52,0
232,121,29,2,75.01,5
233,121,3,4,66.38,0
234,121,16,4,12.55,0
235,122,5,3,204.37,0
236,122,21,5,35.92,0
237,122,28,2,36.69,5
238,123,22,5,31.59,0
239,124,7,1,204.68,0
240,125,8,1,144.73,0
241,125,7,4,204.68,0
242,125,3,1,66.38,0
243,126,25,5,35.58,15
244,126,2,2,174.02,10
245,126,5,5,204.37,0
246,127,5,5,204.37,0
247,128,30,4,60.52,0
248,128,6,1,94.1,15
249,128,21,4,35.92,5
250,129,25,5,35.58,0
251,130,2,4,174.02,15
252,130,18,5,13.72,0
253,131,15,3,22.16,0
254,132,20,1,14.17,0
255,132,2,5,174.02,5
256,133,30,1,60.52,0
257,134,30,5,60.52,5
258,134,8,4,144.73,10
259,134,23,5,17.29,0
260,135,12,5,101.61,10
261,136,30,3,60.52,0
262,136,7,5,204.68,10
263,136,12,2,101.61,0
264,137,7,3,204.68,0
265,138,11,4,115.42,15
266,138,9,4,56.5,0
267,138,25,3,35.58,0
268,138,27,5,31.13,0
269,139,3,1,66.38,5
270,139,27,4,31.13,0
271,139,22,2,31.59,0
272,140,21,5,35.92,10
273,141,1,5,165.27,5
274,142,14,2,122.46,0
275,142,26,1,128.12,0
276,143,26,4,128.12,0
277,144,22,1,31.59,5
278,145,16,1,12.55,5
279,146,11,1,115.42,10
280,146,19,1,20.22,0
281,147,22,5,31.59,0
282,147,30,1,60.52,0
283,147,9,3,56.5,0
284,147,29,2,75.01,0
285,148,6,5,94.1,0
286,149,5,1,204.37,0
287,149,26,3,128.12,0
288,149,23,4,17.29,0
289,150,25,1,35.58,5
290,150,11,4,115.42,0
291,151,22,1,31.59,5
292,151,13,3,270.4,5
293,152,21,4,35.92,0
294,152,5,1,204.37,0
295,153,6,4,94.1,0
296,154,3,5,66.38,0
297,155,3,5,66.38,10
298,156,9,3,56.5,0
299,157,26,1,128.12,0
300,158,4,2,143.06,0
301,159,15,5,22.16,0
302,159,11,3,115.42,5
303,159,14,2,122.46,0
304,160,16,2,12.55,0
305,160,19,3,20.22,10
306,161,6,1,94.1,15
307,161,22,4,31.59,10
308,161,25,2,35.58,0
309,161,18,3,13.72,10
310,162,5,3,204.37,0
311,162,21,2,35.92,5
312,163,17,4,15.45,0
313,164,3,2,66.38,5
314,164,4,3,143.06,0
315,165,25,3,35.58,15
316,166,17,5,15.45,5
317,166,18,2,13.72,0
318,167,12,4,101.61,0
319,167,1,4,165.27,10
320,168,15,2,22.16,0
321,169,3,1,66.38,10
322,169,10,1,76.36,0
323,170,24,5,39.67,0
324,170,8,5,144.73,0
325,170,17,4,15.45,0
326,170,6,4,94.1,5
327,171,29,4,75.01,0
328,171,7,4,204.68,0
329,172,19,5,20.22,0
330,172,4,3,143.06,0
331,172,26,1,128.12,0
332,173,13,5,270.4,0
333,174,26,5,128.12,0
334,174,10,2,76.36,0
335,175,13,4,270.4,0
336,176,30,2,60.52,0
337,176,21,4,35.92,0
338,177,1,2,165.27,10
339,177,16,5,12.55,0
340,177,5,4,204.37,0
341,178,19,1,20.22,5
342,179,25,4,35.58,0
343,180,9,5,56.5,10
344,180,25,3,35.58,0
345,181,14,1,122.46,5
346,182,9,3,56.5,10
347,183,26,5,128.12,5
348,184,7,2,204.68,10
349,185,23,3,17.29,0
350,186,4,4,143.06,10
351,186,5,3,204.37,10
352,187,27,4,31.13,0
353,187,8,5,144.73,5
354,188,25,5,35.58,5
355,188,3,3,66.38,0
356,188,13,4,270.4,0
357,189,15,3,22.16,10
358,189,21,5,35.92,0
359,190,11,2,115.42,0
360,190,18,4,13.72,5
361,190,19,1,20.22,0
362,191,6,2,94.1,15
363,191,15,2,22.16,10
364,191,1,3,165.27,0
365,191,14,3,122.46,0
366,192,2,3,174.02,5
367,192,13,2,270.4,0
368,193,19,2,20.22,0
369,194,28,4,36.69,5
370,195,4,3,143.06,0
371,195,11,2,115.42,5
372,195,12,2,101.61,0
373,196,7,2,204.68,10
374,197,5,5,204.37,5
375,197,25,3,35.58,15
376,197,4,3,143.06,5
377,198,24,3,39.67,5
378,198,20,1,14.17,10
379,199,24,3,39.67,5
380,199,13,2,270.4,0
381,200,1,3,165.27,0
382,200,12,5,101.61,0
383,201,3,2,66.38,0
384,201,1,1,165.27,10
385,201,19,4,20.22,0
386,201,9,5,56.5,5
387,202,5,1,204.37,0
388,202,9,5,56.5,10
389,203,21,3,35.92,5
390,203,22,2,31.59,0
391,203,3,1,66.38,10
392,204,22,2,31.59,0
393,204,24,2,39.67,5
394,205,24,3,39.67,0
395,205,9,3,56.5,5
396,205,6,1,94.1,5
397,206,23,5,17.29,5
398,207,6,1,94.1,10
399,207,12,1,101.61,0
400,207,9,5,56.5,0
401,208,6,5,94.1,10
402,208,30,4,60.52,0
403,208,28,2,36.69,0
404,208,2,3,174.02,0
405,209,6,1,94.1,15
406,209,8,1,144.73,10
407,209,26,3,128.12,5
408,209,17,3,15.45,0
409,210,10,5,76.36,0
410,210,24,3,39.67,0
411,211,25,1,35.58,10
412,211,26,1,128.12,0
413,211,8,3,144.73,5
414,211,5,1,204.37,15
415,212,4,5,143.06,15
416,212,7,4,204.68,0
417,213,30,2,60.52,10
418,214,19,5,20.22,0
419,214,4,4,143.06,0
420,215,9,3,56.5,10
421,216,8,2,144.73,0
422,216,3,5,66.38,0
423,217,12,2,101.61,0
424,218,10,5,76.36,0
425,218,27,3,31.13,0
426,218,23,2,17.29,15
427,219,6,4,94.1,0
428,219,1,5,165.27,0
429,219,13,4,270.4,0
430,220,5,3,204.37,5
431,220,7,1,204.68,0
432,220,27,3,31.13,10
433,220,13,1,270.4,0
434,221,29,3,75.01,0
435,222,16,4,12.55,5
436,222,1,2,165.27,0
437,223,20,5,14.17,0
438,224,13,2,270.4,0
439,225,18,3,13.72,0
440,225,26,4,128.12,0
441,225,1,5,165.27,0
442,225,13,4,270.4,0
443,226,9,4,56.5,0
444,226,2,5,174.02,15
445,226,26,2,128.12,0
446,227,2,4,174.02,0
447,227,25,2,35.58,0
448,227,8,5,144.73,0
449,227,19,3,20.22,10
450,228,19,4,20.22,0
451,228,7,2,204.68,0
452,229,1,5,165.27,0
453,229,11,2,115.42,0
454,230,5,5,204.37,5
455,231,3,3,66.38,5
456,232,6,4,94.1,5
457,233,29,5,75.01,5
458,233,30,2,60.52,5
459,234,24,1,39.67,10
460,235,20,3,14.17,10
461,236,11,1,115.42,0
462,236,24,3,39.67,0
463,237,15,2,22.16,0
464,237,1,1,165.27,0
465,237,9,1,56.5,5
466,238,14,4,122.46,10
467,239,19,2,20.22,0
468,239,21,1,35.92,5
469,239,25,1,35.58,0
470,240,13,2,270.4,5
471,241,29,4,75.01,10
472,241,16,2,12.55,5
473,241,23,4,17.29,0
474,241,1,1,165.27,0
475,242,9,3,56.5,0
476,242,22,1,31.59,0
477,243,14,1,122.46,0
478,244,6,3,94.1,15
479,245,29,3,75.01,0
480,245,22,5,31.59,0
481,246,15,4,22.16,0
482,247,3,3,66.38,10
483,247,22,4,31.59,15
484,248,14,4,122.46,0
485,248,18,2,13.72,0
486,248,22,1,31.59,0
487,249,22,1,31.59,10
488,249,20,4,14.17,0
489,249,5,2,204.37,15
490,250,7,2,204.68,10
491,250,27,3,31.13,0
492,251,18,3,13.72,0
493,251,11,1,115.42,5
494,252,5,5,204.37,0
495,253,4,3,143.06,10
496,253,26,3,128.12,10
497,254,6,4,94.1,0
498,254,9,5,56.5,5
499,255,16,3,12.55,10
500,256,16,1,12.55,15
501,257,9,5,56.5,5
502,257,24,2,39.67,0
503,257,14,4,122.46,5
504,258,6,3,94.1,5
505,258,3,4,66.38,0
506,259,7,2,204.68,0
507,259,27,1,31.13,10
508,259,2,2,174.02,0
509,260,8,4,144.73,0
510,260,12,2,101.61,15
511,261,9,1,56.5,0
512,261,24,4,39.67,0
513,261,27,5,31.13,5
514,262,21,4,35.92,0
515,263,21,1,35.92,0
516,263,6,5,94.1,10
517,263,20,3,14.17,5
518,263,26,3,128.12,0
519,264,22,5,31.59,0
520,264,17,1,15.45,0
521,265,20,3,14.17,5
522,265,10,4,76.36,0
523,266,29,3,75.01,0
524,266,21,5,35.92,5
525,267,11,2,115.42,5
526,268,13,1,270.4,0
527,269,18,4,13.72,10
528,270,29,3,75.01,0
529,270,18,2,13.72,5
530,270,6,5,94.1,5
531,271,8,3,144.73,0
532,272,16,5,12.55,0
533,272,2,5,174.02,0
534,272,28,2,36.69,0
535,273,5,4,204.37,15
536,273,7,4,204.68,0
537,273,11,2,115.42,5
538,274,15,3,22.16,0
539,275,25,5,35.58,0
540,275,3,4,66.38,0
541,275,5,4,204.37,0
542,276,11,5,115.42,0
543,277,12,2,101.61,0
544,277,10,5,76.36,0
545,278,24,5,39.67,0
546,279,29,4,75.01,0
547,280,24,2,39.67,0
548,281,26,4,128.12,10
549,281,2,3,174.02,5
550,282,1,1,165.27,0
551,282,2,4,174.02,0
552,283,1,4,165.27,5
553,283,10,5,76.36,0
554,284,24,5,39.67,0
555,285,9,5,56.5,15
556,286,30,4,60.52,0
557,286,7,1,204.68,0
558,287,3,5,66.38,0
559,287,25,1,35.58,10
560,288,27,2,31.13,10
561,289,4,1,143.06,0
562,289,28,2,36.69,5
563,290,24,1,39.67,0
564,291,27,4,31.13,5
565,291,13,2,270.4,0
566,292,19,4,20.22,10
567,293,1,2,165.27,0
568,294,21,3,35.92,0
569,295,22,3,31.59,0
570,295,28,5,36.69,0
571,296,13,5,270.4,10
572,296,5,5,204.37,0
573,297,28,4,36.69,0
574,297,6,3,94.1,15
575,297,3,1,66.38,0
576,298,15,5,22.16,0
577,299,1,4,165.27,0
578,299,4,5,143.06,0
579,300,18,4,13.72,15
580,300,7,3,204.68,10
581,300,21,2,35.92,10
582,301,12,4,101.61,0
583,301,23,2,17.29,0
584,302,23,1,17.29,10
585,302,4,4,143.06,0
586,303,7,4,204.68,0
587,303,4,2,143.06,5
588,304,19,4,20.22,0
589,304,4,5,143.06,15
590,304,25,2,35.58,15
591,305,19,4,20.22,10
592,306,27,2,31.13,0
593,307,20,2,14.17,0
594,308,20,5,14.17,0
595,309,21,3,35.92,5
596,309,7,2,204.68,15
597,309,20,2,14.17,0
598,309,23,3,17.29,5
599,310,23,5,17.29,0
600,310,14,4,122.46,10
601,310,22,5,31.59,0
602,310,24,4,39.67,0
603,311,10,3,76.36,0
604,312,12,4,101.61,0
605,312,27,5,31.13,10
606,313,26,1,128.12,10
607,313,23,4,17.29,0
608,313,10,3,76.36,15
609,314,28,2,36.69,10
610,314,15,3,22.16,5
611,314,27,5,31.13,5
612,315,22,1,31.59,0
613,316,18,3,13.72,0
614,317,5,2,204.37,10
615,317,2,5,174.02,0
616,318,18,3,13.72,0
617,318,12,2,101.61,0
618,318,3,5,66.38,0
619,319,22,3,31.59,0
620,319,11,5,115.42,0
621,319,12,5,101.61,10
622,320,21,5,35.92,10
623,321,26,1,128.12,0
624,322,12,5,101.61,0
625,322,17,1,15.45,0
626,322,26,2,128.12,0
627,323,18,1,13.72,0
628,323,1,2,165.27,10
629,323,21,4,35.92,10
630,324,14,1,122.46,5
631,324,21,2,35.92,0
632,325,9,5,56.5,0
633,326,14,1,122.46,0
634,326,11,1,115.42,0
635,327,23,1,17.29,0
636,327,28,5,36.69,0
637,328,13,4,270.4,0
638,328,27,2,31.13,0
639,328,22,4,31.59,5
640,328,1,5,165.27,0
641,329,28,1,36.69,0
642,329,24,5,39.67,0
643,329,21,1,35.92,0
644,329,12,5,101.61,0
645,330,24,2,39.67,0
646,330,12,5,101.61,0
647,331,22,5,31.59,10
648,332,10,1,76.36,0
649,332,22,2,31.59,5
650,333,4,5,143.06,0
651,333,10,2,76.36,0
652,334,19,3,20.22,15
653,334,12,2,101.61,0
654,335,27,3,31.13,0
655,336,10,4,76.36,0
656,337,5,2,204.37,0
657,337,29,1,75.01,5
658,337,18,1,13.72,10
659,338,7,5,204.68,0
660,338,30,5,60.52,0
661,338,2,2,174.02,0
662,339,15,5,22.16,0
663,340,26,2,128.12,5
664,340,20,2,14.17,0
665,340,22,2,31.59,0
666,341,12,2,101.61,5
667,341,2,2,174.02,0
668,342,12,4,101.61,10
669,342,13,1,270.4,15
670,342,16,3,12.55,0
671,342,30,5,60.52,5
672,343,13,4,270.4,0
673,343,21,1,35.92,0
674,344,28,3,36.69,0
675,345,6,2,94.1,0
676,346,23,1,17.29,5
677,347,16,5,12.55,0
678,347,7,4,204.68,0
679,348,2,5,174.02,0
680,348,29,2,75.01,0
681,349,1,3,165.27,10
682,349,29,2,75.01,0
683,350,5,5,204.37,10
684,351,11,4,115.42,0
685,351,30,1,60.52,0
686,352,17,2,15.45,5
687,352,22,2,31.59,0
688,352,14,5,122.46,0
689,353,29,5,75.01,10
690,353,20,4,14.17,0
691,354,26,4,128.12,5
692,355,23,4,17.29,0
693,355,19,4,20.22,5
694,355,4,1,143.06,0
695,356,1,5,165.27,0
696,356,19,1,20.22,0
697,357,14,5,122.46,0
698,358,13,5,270.4,5
699,358,25,4,35.58,0
700,358,7,5,204.68,0
701,358,14,3,122.46,15
702,359,28,1,36.69,5
703,360,26,5,128.12,5
704,360,11,1,115.42,0
705,361,20,1,14.17,0
706,361,14,2,122.46,0
707,362,21,5,35.92,0
708,363,15,2,22.16,10
709,363,1,5,165.27,0
710,364,6,1,94.1,0
711,365,13,3,270.4,5
712,366,30,5,60.52,0
713,366,3,5,66.38,10
714,367,7,4,204.68,0
715,367,15,3,22.16,0
716,368,4,5,143.06,15
717,369,13,5,270.4,0
718,370,19,1,20.22,0
719,370,28,3,36.69,0
720,371,11,4,115.42,15
721,372,3,4,66.38,5
722,373,29,5,75.01,0
723,374,24,2,39.67,10
724,375,5,1,204.37,0
725,375,25,1,35.58,5
726,376,2,4,174.02,0
727,376,28,3,36.69,0
728,377,17,2,15.45,5
729,377,9,2,56.5,0
730,377,13,4,270.4,0
731,378,6,1,94.1,5
732,378,15,4,22.16,0
733,379,12,5,101.61,10
734,380,11,4,115.42,0
735,380,12,3,101.61,0
736,380,6,4,94.1,0
737,380,16,2,12.55,0
738,381,8,5,144.73,0
739,382,26,1,128.12,0
740,383,11,4,115.42,0
741,383,26,5,128.12,10
742,384,9,4,56.5,10
743,385,18,3,13.72,0
744,386,19,5,20.22,0
745,386,21,3,35.92,0
746,387,13,4,270.4,5
747,387,20,2,14.17,10
748,387,10,3,76.36,0
749,388,11,2,115.42,0
750,389,29,4,75.01,5
751,390,6,1,94.1,0
752,391,6,4,94.1,0
753,392,13,5,270.4,5
754,393,29,3,75.01,0
755,393,13,3,270.4,0
756,394,12,3,101.61,10
757,395,5,5,204.37,0
758,395,23,5,17.29,0
759,396,18,3,13.72,0
760,396,10,2,76.36,10
761,397,1,5,165.27,10
762,398,16,4,12.55,0
763,398,25,4,35.58,5
764,399,29,5,75.01,0
765,400,8,4,144.73,5
766,400,9,5,56.5,5
767,400,3,5,66.38,10
768,401,14,1,122.46,0
769,401,7,3,204.68,0
770,401,28,4,36.69,5
771,402,2,5,174.02,0
772,403,8,2,144.73,0
773,403,3,2,66.38,0
774,404,26,3,128.12,0
775,404,2,2,174.02,0
776,405,27,3,31.13,10
777,406,15,2,22.16,5
778,407,7,4,204.68,5
779,407,16,3,12.55,10
780,408,4,4,143.06,5
781,408,9,2,56.5,0
782,409,14,3,122.46,0
783,410,2,5,174.02,5
784,411,6,4,94.1,0
785,412,21,2,35.92,5
786,413,21,3,35.92,10
787,413,25,4,35.58,5
788,414,2,4,174.02,5
789,415,18,3,13.72,5
790,415,12,3,101.61,10
791,416,15,3,22.16,0
792,416,10,4,76.36,0
793,417,28,3,36.69,5
794,418,13,5,270.4,5
795,418,7,5,204.68,0
796,419,22,1,31.59,0
797,420,4,5,143.06,5
798,420,2,4,174.02,5
799,421,20,1,14.17,0
800,422,2,4,174.02,10
801,422,12,1,101.61,10
802,422,18,3,13.72,0
803,423,17,1,15.45,0
804,424,19,2,20.22,0
805,424,21,5,35.92,0
806,425,22,1,31.59,0
807,425,14,2,122.46,0
808,426,30,3,60.52,0
809,426,12,3,101.61,10
810,427,8,5,144.73,0
811,428,15,1,22.16,15
812,428,13,5,270.4,0
813,428,1,2,165.27,15
814,428,24,3,39.67,0
815,429,23,5,17.29,0
816,429,27,5,31.13,10
817,429,9,2,56.5,0
818,430,8,3,144.73,0
819,430,9,4,56.5,0
820,430,26,2,128.12,5
821,431,23,1,17.29,0
822,431,19,3,20.22,0
823,431,27,5,31.13,0
824,432,14,1,122.46,10
825,432,30,2,60.52,5
826,432,28,5,36.69,10
827,433,11,5,115.42,0
828,433,18,5,13.72,5
829,434,25,1,35.58,0
830,434,20,3,14.17,5
831,434,19,2,20.22,0
832,434,17,1,15.45,0
833,435,14,2,122.46,5
834,436,18,5,13.72,0
835,436,20,1,14.17,0
836,437,14,3,122.46,0
837,437,12,3,101.61,0
838,438,26,5,128.12,0
839,438,15,1,22.16,10
840,439,3,1,66.38,0
841,439,4,5,143.06,10
842,440,16,1,12.55,0
843,441,18,2,13.72,5
844,441,16,1,12.55,0
845,441,20,5,14.17,0
846,442,2,1,174.02,0
847,442,15,3,22.16,5
848,443,21,4,35.92,0
849,443,13,1,270.4,10
850,443,8,4,144.73,10
851,444,30,1,60.52,0
852,444,23,5,17.29,0
853,445,12,3,101.61,0
854,445,21,5,35.92,0
855,446,1,2,165.27,0
856,446,18,4,13.72,5
857,446,9,1,56.5,5
858,447,14,5,122.46,0
859,447,8,3,144.73,10
860,448,18,2,13.72,10
861,449,30,2,60.52,5
862,450,24,2,39.67,0
863,450,4,2,143.06,5
864,451,24,3,39.67,0
865,452,20,5,14.17,0
866,452,9,1,56.5,0
867,452,19,4,20.22,0
868,452,8,5,144.73,0
869,453,6,2,94.1,0
